Airport,PageRank
LFT,0.00044577507985054727
CNM,0.0004437699908856367
PVU,0.0004422823017509966
TTN,0.0004421442020998321
GTR,0.0004398902753795287
TN8,0.00043935144423392627
BFF,0.0004381975619029353
IRC,0.0004381360594285278
GBH,0.0004381360594285278
CEM,0.0004381360594285278
MHR,0.00043794865852160147
BIF,0.00043686193704235834
WHD,0.00043638154961997975
MGM,0.00043589510840107
ITO,0.00043486179694465706
LGD,0.0004346129434323748
SBP,0.0004324341588592766
SKW,0.0004314996210415396
DAB,0.0004307516846996715
MCN,0.0004306562311418904
CVO,0.00043051849937308245
PKA,0.0004257538743871306
TCL,0.0004240510271742664
LNY,0.00042347750873894345
RST,0.00042229072861300627
NUI,0.0004207547395846755
ERI,0.0004206807888434492
LBE,0.0004193510037115055
BFM,0.00041834322237140824
BTT,0.000417669408975823
MMH,0.0004172315623887278
UGN,0.00041682117570522766
LAN,0.00041572810285330907
WRG,0.000410311501158636
DLH,0.00040851616816408166
APN,0.00040438153890105257
MLB,0.00040272751627169116
MOB,0.000401903951292118
CRW,0.00039946745434600085
YUM,0.0003982534440205226
LMA,0.0003960724692868368
SUN,0.0003932370885492161
EHR,0.0003930998857810689
ROW,0.00039262964253545043
PBG,0.00039150533714527014
MTH,0.00039099606234669113
GUP,0.0003896252446332676
DHN,0.00038920886622368083
ELV,0.0003819426672457126
OXC,0.0003798122045124845
DRT,0.0003782939964944137
SCE,0.0003737815619011231
CWA,0.000372845174738234
N1C,0.0003703732502897775
APF,0.00036937609442508183
DVL,0.00036894517374916325
SWO,0.0003685353378144384
SLQ,0.00036833634646638437
CKD,0.00036833634646638437
CHU,0.00036833634646638437
OGD,0.0003670760665739132
XWA,0.0003666304689494246
ADK,0.0003657113759317301
DIK,0.0003620878657724448
MBS,0.0003617781029524148
ABI,0.00036097336265663503
PRC,0.00035950430669008096
STC,0.00035945057014058316
JMS,0.00035858115696508813
LBF,0.0003579309098980599
SJT,0.00035657337581649316
FMN,0.00035521678118405624
SUS,0.0003544352901148013
VCV,0.00035436708721398963
SSI,0.0003539971477183122
SVC,0.00035378494639444653
GRI,0.00035365394185738743
PTD,0.0003530312657316298
LYH,0.0003529024239301913
SVS,0.0003524363262512674
SUX,0.00035205928579933477
MCK,0.00034954799655366854
RHI,0.00034923390704011734
VDZ,0.00034851427989892215
HHH,0.000348216941845159
GCC,0.00034551872278952274
HLN,0.00034394466953770566
SPI,0.0003435269965371598
JZT,0.0003429876461270747
GDC,0.0003429150195786817
SCF,0.00033917535007143483
PUW,0.00033897766143493706
ACV,0.0003386007504565892
FAY,0.00033851449585226077
GGG,0.0003336684808978775
IAG,0.0003332525103088842
LMT,0.000330236036703507
FOE,0.00032733049781066414
MLU,0.00032547810580227994
BCT,0.0003244130786282153
VIK,0.0003240003512271957
HTO,0.00032031989459115984
CEC,0.00032009763213403835
YNG,0.0003187750735433688
ALO,0.0003184640377302125
UT1,0.000315649783097412
EAR,0.00031563159081737975
CDC,0.00031451553314156076
CNO,0.000314381638090683
PSM,0.00031284769226821464
DSI,0.0003122274089688629
TWA,0.0003119837599320042
DPA,0.0003113364520230071
MCE,0.00031085825959782274
PIH,0.0003084924694734623
AVP,0.0003074780730562786
TRM,0.000306166609849838
SDM,0.00030573803322652847
PUB,0.0003056476808437509
RBG,0.00030512391749882846
BJI,0.00030475473702281226
NYL,0.000304117449085453
LSF,0.0003040976468322823
AKB,0.00030184588898795326
EWB,0.00030115305413093413
MWA,0.00030114620011756143
SHD,0.0003007611613165997
OWB,0.00029959660724325694
CSG,0.00029951312899944465
DCU,0.00029772644037276397
CIU,0.00029760490143819246
